Course_Name,Course_Number,Dept_Code,Description,Notes,NumberOfCredits,SemesterOffered,prereq,CrossListed
"  Petroleum Industry Overview ",2013,PENG," Overview and history of the petroleum industry and petroleum engineering; nature of oil and gas reservoirs, exploration and drilling, formation evaluation, well completions and production, surface facilities, reservoir mechanics, improved oil recovery; overview of refining, petrochemical industry and downstream processing of oil and gas.",NULL,1," Every semester",NULL,NULL
"  Introduction to American Studies ",2019,ECLT," This interdisciplinary course is designed to introduce students to key events and texts in the history and culture of the United States. Using films, literature and historical texts, the course will examine American culture within a historical context.",NULL,3,NULL,"HIST 2019","HIST 2019"
"  Introduction to American Studies ",2019,HIST," This interdisciplinary course is designed to introduce students to key events and texts in the history and culture of the United States. Using films, literature and historical texts, the course will examine American culture within a historical context.",NULL,3,NULL,"ECLT 2019","ECLT 2019"
"  Introduction to Food Science and Technology ",2020,CHEM," An overview of the interdisciplinary nature of food science. The chemical and physical properties of foods. An overview of food regulation. Concepts and applications of food chemistry, food analysis, food processing, biotechnology, sensory evaluation, food packaging, food product development and food engineering. Global food situation with an emphasis on the Egyptian context.",NULL,3,NULL,"CHEM 1005",NULL
"  Ancient Egypt: An Introduction ",2020,EGPT," An introduction to history, society, religion, art and architecture of Ancient Egypt, including a description of the nature and character of the field of Egyptology. The continuing impact of Ancient Egypt on subsequent societies and cultures including that of modern Egypt will be examined.",NULL,3," Offered each semester.",NULL,NULL
"  Introduction to Macroeconomics ",2021,ECON," Fundamental economic concepts and methods of economic analysis with emphasis on macroeconomic issues. Analyzes aggregate economic activity in relation to the level, stability and growth of national income. Topics analyzed include the determination and effects of national income, consumption, investment, unemployment, inflation, interest rates, and how these may be influenced by monetary, fiscal and other policies.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Introduction to Egyptian Architecture ",2030,EGPT," A basic class on Egyptian architecture, comprised of a brief introduction to the culture of the ancient Egyptians, followed by a series of lectures dealing with Egyptian architecture, the typology of Egyptian architecture, and the role it played in Egyptian society and culture. The raw materials and tools used by the Egyptians will be covered, as well as some of the motifs used in the buildings, and  their ideas about architecture, including their use of light, water, and space in the buildings. The course includes sections on temples, tombs, and, with a brief discussion of urban planning. The course will conclude with a section on Egypt’s legacy to architecture, and how the use of the grammar of architecture changes over time. Field-trips will also constitute an important part of the course and will, in some cases, take the place of class-time.",NULL,3,NULL,NULL,NULL
"  Foundations of Modern Physics ",2041,PHYS," Introduction to special relativity and quantum physics, experimental basis of relativity, Einstein’s Postulates, Lorentz transformation, relativistic momentum and energy, experimental evidence of quantization, wave-particle duality, and Schrodinger equation.",NULL,3," Offered in fall and spring.","PHYS 1021",NULL
"  Modern Physics Laboratory ",2042,PHYS," Quantization of electric charge, thermal radiation law, quantization of energy, particle nature of light, spin",NULL,1," Offered in fall and spring",NULL,NULL
"  Economic History of the Modern Middle East ",2051,ECON," Historical survey of the economic conditions, systems, and institutions of the Middle East with special emphasis on the period 1800-1945.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Mathematics for Economists I ",2061,ECON," Algebraic methods. Calculus of a single variable. Composite functions, limits and asymptotes, continuity, simple and implicit differentiation, Taylor’s theorem, maxima and minima and points of inflection, logarithmic and exponential functions. Introduction to integral calculus. Applications to economic theory and business finance.",NULL,3," Offered in fall and spring.","MACT 1111",NULL
"  Statistics for Economists ",2081,ECON," The course covers descriptive and sample inferential statistical techniques, including main descriptive statistics and data sources and types. Topics include point estimation and statistical estimators’ desirable properties, hypothesis testing, correlation, and analysis of variance (ANOVA). Applications in Economics and Business are emphasized.",NULL,3," Offered in fall and spring.","MACT 2222",NULL
